Video Id, Channel Id, Title, Tags, Description, Privacy, Date Published, Category Id, Category Name, Thumbnail Url, Watch Url, FileName, Date Backed Up, View Count, Comment Count, Like Count, Dislike Count, Length (seconds)
psXo54Av__w,UCtoNXlIegvxkvf5Ji8S57Ag,How I use ChatGpt Code Interpreter as a Data Analyst,,"OpenAI has just released a new tool called Code Interpreter within ChatGPT, with the potential to revolutionize the whole world of Data Analytics.

?ü§å SO WHAT
In this video I'll show you how to use the Code Interpreter as a Data Analyst.

‚ú®GET MY PROVEN PORTFOLIO TEMPLATE
https://loresowhat.gumroad.com/l/cymgqd

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üîO THE ABSOLUTE BEST DATA ANALYTICS COURSES ?üîO
Google Data Analytics Professional Certificate http://imp.i384100.net/1
IBM Data Analyst Professional Certificate http://imp.i384100.net/2
IBM Data Science Professional Certificate http://imp.i384100.net/3
Work Smarter with Microsoft Excel http://imp.i384100.net/4
Learn SQL Basics for Data Science Specialization http://imp.i384100.net/5
Python for Everybody Specialization http://imp.i384100.net/6
Data Visualization with Tableau Specialization http://imp.i384100.net/7
Getting Started with Power BI Desktop http://imp.i384100.net/8
Advanced Google Data Analytics Professional Certificate http://imp.i384100.net/9
Google Business Intelligence Professional Certificate http://imp.i384100.net/10

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

?üîé CONTENT
0:00 Intro
1:16 Use Case #1
3:08 Use Case #2
4:34 Use Case #3
5:46 Use Case #4
6:59 Use Case #5
7:53 Use Case #6 
8:56 Use Case #7 (my favourite)
9:59 Use Case #8
10:40 BONUS Use Case
11:08 Limitations

#dataanalytics #chatgpt #codeinterpreter",Public,17-07-2023,27,Education,https://i.ytimg.com/vi/psXo54Av__w/maxresdefault.jpg,https://www.youtube.com/watch?v=psXo54Av__w,ChatGpt Code interpreter data analysis 2.mp4,21-07-2023,978,10,55,0,792
EKOWoInn46A,UCtoNXlIegvxkvf5Ji8S57Ag,PRACTICAL Data Analytics with SQL,"practical data analytics with sql,sql,data science,data analyst,data scientist,data analytics,python,sql tutorial,learn sql,business intelligence,excel,power bi,tableau,data analytics course,sql data analysis,sql for data analysis,sql full course,sql course,sql course for beginners,sql tutorial for beginners,sql crash course,sql for beginners,learn sql for beginners,sql programming,structured query language,sql training,sql queries,yt:cc=on,bi","?üéµ Try GetSound.AI and get 50% discount using this link https://app.getsound.ai/vtraiz9dbsfc4f1b

?ü§å SO WHAT
SQL is the number 1 tool that you have to master as a Data Analyst... In this video I'll show you the ONE SQL PROJECT YOU NEED in your data analytics portfolio.

?üìÅ DATASET
https://drive.google.com/drive/folders/1_3upvRufarzFzW2I0YavucNFCR8bZrYn?usp=sharing

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

?üîO THE ABSOLUTE BEST DATA ANALYTICS COURSES ?üîO
Google Data Analytics Professional Certificate http://imp.i384100.net/1
IBM Data Analyst Professional Certificate http://imp.i384100.net/2
IBM Data Science Professional Certificate http://imp.i384100.net/3
Work Smarter with Microsoft Excel http://imp.i384100.net/4
Learn SQL Basics for Data Science Specialization http://imp.i384100.net/5
Python for Everybody Specialization http://imp.i384100.net/6
Data Visualization with Tableau Specialization http://imp.i384100.net/7
Getting Started with Power BI Desktop http://imp.i384100.net/8
Advanced Google Data Analytics Professional Certificate http://imp.i384100.net/9
Google Business Intelligence Professional Certificate http://imp.i384100.net/10

?üîé CONTENT
0:00 Intro
1:28 Project Context
2:13 Connect to the dataset
4:12 Identify the stakeholder
4:57 Exploratory data analysis 
9:28 Finding the insights 
15:36 Final recommendations

#datanalytics #sql #project",Public,09-07-2023,27,Education,https://i.ytimg.com/vi/EKOWoInn46A/maxresdefault.jpg,https://www.youtube.com/watch?v=EKOWoInn46A,SQL data analytics project.mp4,21-07-2023,2418,35,187,0,1076
Eyyi29vG3us,UCtoNXlIegvxkvf5Ji8S57Ag,STATISTICS Concepts for Data Science pt.8,"statistics concepts data science,data science,statistics for data science,statistics,data analytics,statistics and probability for data science,data science interview questions,simplilearn,statistics full course,data scientist,probability,data analyst,statistics and probability interview questions,statistics interview questions and answers,probability interview questions,data science interview questions and answers,data science interview questions for beginners","Statistics is a key skill to make you a successful data analyst or data scientist.

?ü§å SO WHAT
In this series of short clips, I'll do my best to explain the main statistical concepts that you need to get familiar with.

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#statistics #datascience",Public,07-07-2023,27,Education,https://i.ytimg.com/vi/Eyyi29vG3us/maxresdefault.jpg,https://www.youtube.com/watch?v=Eyyi29vG3us,statistics for data science - pt 8.mp4,21-07-2023,443,2,33,1,50
8Vqq4lORocY,UCtoNXlIegvxkvf5Ji8S57Ag,STATISTICS Concepts for Data Science pt.7,"statistics concepts data science,data science,statistics for data science,statistics,data analytics,statistics and probability for data science,data science interview questions,simplilearn,statistics full course,data scientist,probability,data analyst,statistics and probability interview questions,statistics interview questions and answers,probability interview questions,data science interview questions and answers,data science interview questions for beginners","Statistics is a key skill to make you a successful data analyst or data scientist.

?ü§å SO WHAT
In this series of short clips, I'll do my best to explain the main statistical concepts that you need to get familiar with.

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#statistics #datascience",Public,04-07-2023,27,Education,https://i.ytimg.com/vi/8Vqq4lORocY/maxresdefault.jpg,https://www.youtube.com/watch?v=8Vqq4lORocY,statistics for data science pt 7.mp4,21-07-2023,416,0,34,2,59
9JD-OvqO-wY,UCtoNXlIegvxkvf5Ji8S57Ag,Data Influencers you MUST follow on LinkedIn,"data analytics resources,data analytics,data analyst,how to become a data analyst,data science,data analyst job,data scientist,data analyst skills,data analyst roadmap,data analytics career,how to learn data analyst skills,data analyst career,power bi,excel,data analytics for beginners,python,data analysis,big data,machine learning,how to learn data analytics,data analyst beginner,data,complete data analyst roadmap,alex the analyst,luke barousse","LinkedIn is full of free resources for data analytics and data science, we just need to find the right people to follow...

?ü§å SO WHAT
I've done all of that research for you and here are all the best Data Influencers on LinkedIn that you MUST follow!

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#dataanalytics #influencer",Public,02-07-2023,27,Education,https://i.ytimg.com/vi/9JD-OvqO-wY/maxresdefault.jpg,https://www.youtube.com/watch?v=9JD-OvqO-wY,data influencers to follow on linkedin.mp4,21-07-2023,623,9,44,0,605
lghEK3tCXTo,UCtoNXlIegvxkvf5Ji8S57Ag,STATISTICS Concepts for Data Science pt.6,"statistics concepts data science,data science,statistics for data science,statistics,data analytics,statistics and probability for data science,data science interview questions,simplilearn,statistics full course,data scientist,probability,data analyst,statistics and probability interview questions,statistics interview questions and answers,probability interview questions,data science interview questions and answers,data science interview questions for beginners","Statistics is a key skill to make you a successful data analyst or data scientist.

?ü§å SO WHAT
In this series of short clips, I'll do my best to explain the main statistical concepts that you need to get familiar with.

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#statistics #datascience",Public,30-06-2023,27,Education,https://i.ytimg.com/vi/lghEK3tCXTo/maxresdefault.jpg,https://www.youtube.com/watch?v=lghEK3tCXTo,statistics for data science pt. 6.mp4,21-07-2023,506,4,28,1,59
Y7EaUfEb3EE,UCtoNXlIegvxkvf5Ji8S57Ag,STATISTICS Concepts for Data Science pt.5,"statistics concepts data science,data science,statistics for data science,statistics,data analytics,statistics and probability for data science,data science interview questions,simplilearn,statistics full course,data scientist,probability,data analyst,statistics and probability interview questions,statistics interview questions and answers,probability interview questions,data science interview questions and answers,data science interview questions for beginners","Statistics is a key skill to make you a successful data analyst or data scientist.

?ü§å SO WHAT
In this series of short clips, I'll do my best to explain the main statistical concepts that you need to get familiar with.

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#statistics #datascience",Public,27-06-2023,27,Education,https://i.ytimg.com/vi/Y7EaUfEb3EE/maxresdefault.jpg,https://www.youtube.com/watch?v=Y7EaUfEb3EE,statistics for data science pt. 5.mp4,21-07-2023,466,4,34,1,59
erlj9I1m7KU,UCtoNXlIegvxkvf5Ji8S57Ag,The Data Analytics Portfolio that ACTUALLY Works,"data analytics portfolio that works,data analytics,data analyst,data science,data analyst portfolio,power bi,business intelligence,data analysis,data analyst projects,data analyst job,python,data analyst portfolio project,tableau,bi,data scientist,data analytics portfolio,data analyst career,data portfolio,data,data visualization,data nerd,how to become a data analyst,portfolio projects,big data,data analyst project,data science portfolio,programming","Building your Data Analytics Portfolio is key to get hired, especially if you are at the early stage of your Data Career.

?ü§å SO WHAT
In this video I'll show you how to create a data portfolio that ACTUALLY works plus a little BONUS for you at the end...

‚ú®GET MY PROVEN PORTFOLIO TEMPLATE
https://loresowhat.gumroad.com/l/cymgqd

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üîO THE ABSOLUTE BEST DATA ANALYTICS COURSES ?üîO
Google Data Analytics Professional Certificate http://imp.i384100.net/1
IBM Data Analyst Professional Certificate http://imp.i384100.net/2
IBM Data Science Professional Certificate http://imp.i384100.net/3
Work Smarter with Microsoft Excel http://imp.i384100.net/4
Learn SQL Basics for Data Science Specialization http://imp.i384100.net/5
Python for Everybody Specialization http://imp.i384100.net/6
Data Visualization with Tableau Specialization http://imp.i384100.net/7
Getting Started with Power BI Desktop http://imp.i384100.net/8
Advanced Google Data Analytics Professional Certificate http://imp.i384100.net/9
Google Business Intelligence Professional Certificate http://imp.i384100.net/10

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

?üîé CONTENT
0:00 Intro
1:08 Why a data portfolio is important?
1:52 What to include? 
3:11 How to describe your projects?
4:41 How to share your portfolio?
5:19 The portfolio that worked for me

#dataanalytics #portfolio",Public,25-06-2023,27,Education,https://i.ytimg.com/vi/erlj9I1m7KU/maxresdefault.jpg,https://www.youtube.com/watch?v=erlj9I1m7KU,DATA ANALYTICS PORTFOLIO.mp4,21-07-2023,2256,22,164,0,424
bV18nPXtHnI,UCtoNXlIegvxkvf5Ji8S57Ag,STATISTICS Concepts for Data Science pt.4,"statistics concepts data science,data science,statistics for data science,statistics,data analytics,statistics and probability for data science,data science interview questions,simplilearn,statistics full course,data scientist,probability,data analyst,statistics and probability interview questions,statistics interview questions and answers,probability interview questions,data science interview questions and answers,data science interview questions for beginners","Statistics is a key skill to make you a successful data analyst or data scientist.

?ü§å SO WHAT
In this series of short clips, I'll do my best to explain the main statistical concepts that you need to get familiar with.

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#statistics #datascience",Public,23-06-2023,27,Education,https://i.ytimg.com/vi/bV18nPXtHnI/maxresdefault.jpg,https://www.youtube.com/watch?v=bV18nPXtHnI,statistics for data science - pt 4.mp4,21-07-2023,471,0,40,0,49
HRonAYAfkYU,UCtoNXlIegvxkvf5Ji8S57Ag,STATISTICS Concepts for Data Science pt.3,"statistics concepts data science,data science,statistics for data science,statistics,data analytics,statistics and probability for data science,data science interview questions,simplilearn,statistics full course,data scientist,probability,data analyst,statistics and probability interview questions,statistics interview questions and answers,probability interview questions,data science interview questions and answers,data science interview questions for beginners","Statistics is a key skill to make you a successful data analyst or data scientist.

?ü§å SO WHAT
In this series of short clips, I'll do my best to explain the main statistical concepts that you need to get familiar with.

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#statistics #datascience",Public,21-06-2023,27,Education,https://i.ytimg.com/vi/HRonAYAfkYU/maxresdefault.jpg,https://www.youtube.com/watch?v=HRonAYAfkYU,statistics for data science pt. 3.mp4,21-07-2023,575,2,55,1,56
Bdys8ejP4BY,UCtoNXlIegvxkvf5Ji8S57Ag,Data Influencers you MUST follow on YouTube,"data analytics resources,data analytics,data analyst,how to become a data analyst,data science,data analyst job,data scientist,data analyst skills,data analyst roadmap,data analytics career,how to learn data analyst skills,data analyst career,power bi,excel,data analytics for beginners,python,data analysis,big data,machine learning,how to learn data analytics,data analyst beginner,data,complete data analyst roadmap,alex the analyst,luke barousse","Youtube is full of free resources for data analytics and data science, we just need to find the right people to follow...

?ü§å SO WHAT
I've done all of that research for you and here are all the best Data Influencers in YouTube that you MUST follow!

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üîO THE ABSOLUTE BEST DATA ANALYTICS COURSES ?üîO
Google Data Analytics Professional Certificate http://imp.i384100.net/1
IBM Data Analyst Professional Certificate http://imp.i384100.net/2
IBM Data Science Professional Certificate http://imp.i384100.net/3
Work Smarter with Microsoft Excel http://imp.i384100.net/4
Learn SQL Basics for Data Science Specialization http://imp.i384100.net/5
Python for Everybody Specialization http://imp.i384100.net/6
Data Visualization with Tableau Specialization http://imp.i384100.net/7
Getting Started with Power BI Desktop http://imp.i384100.net/8
Advanced Google Data Analytics Professional Certificate http://imp.i384100.net/9
Google Business Intelligence Professional Certificate http://imp.i384100.net/10

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#dataanalytics #influencer",Public,18-06-2023,27,Education,https://i.ytimg.com/vi/Bdys8ejP4BY/maxresdefault.jpg,https://www.youtube.com/watch?v=Bdys8ejP4BY,data influencers you must follow.mp4,21-07-2023,1700,39,141,0,535
8zzQ1YIbrqM,UCtoNXlIegvxkvf5Ji8S57Ag,STATISTICS Concepts for Data Science pt.2,"statistics concepts data science,data science,statistics for data science,statistics,data analytics,statistics and probability for data science,data science interview questions,simplilearn,statistics full course,data scientist,probability,data analyst,statistics and probability interview questions,statistics interview questions and answers,probability interview questions,data science interview questions and answers,data science interview questions for beginners","Statistics is a key skill to make you a successful data analyst or data scientist.

?ü§å SO WHAT
In this series of short clips, I'll do my best to explain the main statistical concepts that you need to get familiar with.

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#statistics #datascience",Public,14-06-2023,27,Education,https://i.ytimg.com/vi/8zzQ1YIbrqM/maxresdefault.jpg,https://www.youtube.com/watch?v=8zzQ1YIbrqM,statistics for data science pt.2.mp4,21-07-2023,924,2,64,1,60
sYjdfXEc-r4,UCtoNXlIegvxkvf5Ji8S57Ag,The UGLY Aspects of the Data Analyst Job,"ugly aspects of being a data analyst,data analytics,data analyst,data science,data scientist,machine learning,data analyst job,ai,business analyst,big data,how to become a data analyst,data analyst career,data analysis,data analytics career,data analytics job,big tech,python,data science tutorials,data science jobs,data science day in the life,people of color in tech,inspiring stories,data science at google,what does a data analyst do","A career in the data analytics definitely sounds interesting and fun BUT... there are surely ugly aspects that you would not understand until you are actually working as a data analyst.

?ü§å SO WHAT
In this video I'll show the most frustrating aspects of being a data analyst, all based on my 4+ years of experience in the field.

?üìä Considering a career in Data Analytics? Check out CareerFoundry‚Äîthe perfect way for
anyone to kickstart their career in tech‚Äì and enroll with this link to get 10% off the Data
Analytics Program until the end of the year!
https://bit.ly/3MI7WTV

?üñ• Want to know what it's like to be a Data Analyst? Explore the world of Data Analytics with
CareerFoundry's free short course! Sign up now to gain insight into the field through interactive
tutorials.
https://bit.ly/43f4DL8

?üìû Want to learn more details about the CareerFoundry Data Analytics program? Book a Call with a Program Advisor who will help you out
https://bit.ly/3N57DnA

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

?üîé CONTENT
0:00 Intro
0:50 Ugly Aspect of being a Data Analyst 1
1:45 Ugly Aspect of being a Data Analyst 2
2:52 Ugly Aspect of being a Data Analyst 3
4:21 Ugly Aspect of being a Data Analyst 4
5:07 Ugly Aspect of being a Data Analyst 5
6:02 Ugly Aspect of being a Data Analyst 6

#untoldtruth #dataanalyst",Public,11-06-2023,27,Education,https://i.ytimg.com/vi/sYjdfXEc-r4/maxresdefault.jpg,https://www.youtube.com/watch?v=sYjdfXEc-r4,ugly aspects of data analyst job.mp4,21-07-2023,4942,36,242,3,426
e06y_17K3z4,UCtoNXlIegvxkvf5Ji8S57Ag,STATISTICS Concepts for Data Science pt.1,"statistics concepts data science,data science,statistics for data science,statistics,data analytics,statistics and probability for data science,data science interview questions,simplilearn,statistics full course,data scientist,probability,data analyst,statistics and probability interview questions,statistics interview questions and answers,probability interview questions,data science interview questions and answers,data science interview questions for beginners","Statistics is a key skill to make you a successful data analyst or data scientist.

?ü§å SO WHAT
In this series of short clips, I'll do my best to explain the main statistical concepts that you need to get familiar with.

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#statistics #datascience",Public,07-06-2023,27,Education,https://i.ytimg.com/vi/e06y_17K3z4/maxresdefault.jpg,https://www.youtube.com/watch?v=e06y_17K3z4,statistics for data science - pt 1.mp4,21-07-2023,889,7,58,1,52
wER7ASBE-Os,UCtoNXlIegvxkvf5Ji8S57Ag,Day in the Life of a REMOTE DATA ANALYST,"day life remote data analyst,data analytics,data analyst,day in the life,data science,business analyst,data analyst job,data analysis,data analyst day in the life,life of a data analyst,data analyst career,day in the life of a data analyst,what does a data analyst do,data scientist,a day in the life,a day in the life of a data analyst,data analytics explained,python,how to become a data analyst,data analytics career,tech jobs,remote work,remote working","?üîó BEST PASSWORD MANAGER OUT THERE
See NordPass Business in action now with a 3-month free trial here http://nordpass.com/loresowhat with code loresowhat

In this video I'll be sharing my day as a data analyst working remotely and breaking down how I work on a data analystics project.

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

#dayinthelife #dataanalyst #remote",Public,04-06-2023,22,People & Blogs,https://i.ytimg.com/vi/wER7ASBE-Os/maxresdefault.jpg,https://www.youtube.com/watch?v=wER7ASBE-Os,day in the life of a remote data analyst.mp4,21-07-2023,3607,27,124,2,422
vSl-LHnoq0w,UCtoNXlIegvxkvf5Ji8S57Ag,NEW Linkedin Feature to get a job,"NEW Linkedin Feature to get a job,linkedin,linkedin tips,linkedin profile,linkedin profile tips,job search,how to use linkedin to find a job,linkedin for job seekers,linkedin tutorial,how to use linkedin,linkedin jobs,jobs,get hired,career,how to write a resume,cindy makita,how to use linkedin for beginners,linkedin account,linkedin job search,how to apply for jobs on linkedin,linkedin featured section,linkedin how to use,linkedin how to,shweta arora","Make sure to try out this new Linkedin feature to make your life easier when looking for a new job

#linkedintips #dataanalytics",Public,09-05-2023,27,Education,https://i.ytimg.com/vi/vSl-LHnoq0w/maxresdefault.jpg,https://www.youtube.com/watch?v=vSl-LHnoq0w,1682330642059759.mp4,21-07-2023,957,9,80,1,55
kX_UTrhlJtQ,UCtoNXlIegvxkvf5Ji8S57Ag,The 7 HABITS of Successful Data Analysts,"habits of successful data analysts,data analytics,data analyst,data science,data analysis,big data,data,machine learning,data analyst job,data analytics for beginners,data analyst day in the life,data analyst career,python,power bi,how to become a data analyst,data analyst skills,data analytics career,tedxtalks,english,technology,tech jobs,sql,a day in the life,data science projects,data analyst career path,how to become data analyst","You can find a lot of people on the web talking about the technical skills required to be a Data Analyst. However, there is not as much out there when it comes to soft skills...

?ü§å SO WHAT
In this video I'll show you the key habits that you need to master to be a successful data analyst and practical examples on how we can add those in our daily work.

?üë®‚Äç?üíª LET ME BE YOUR MENTOR
https://topmate.io/loresowhat

?üîO THE ABSOLUTE BEST DATA ANALYTICS COURSES ?üîO
Google Data Analytics Professional Certificate http://imp.i384100.net/1
IBM Data Analyst Professional Certificate http://imp.i384100.net/2
IBM Data Science Professional Certificate http://imp.i384100.net/3
Work Smarter with Microsoft Excel http://imp.i384100.net/4
Learn SQL Basics for Data Science Specialization http://imp.i384100.net/5
Python for Everybody Specialization http://imp.i384100.net/6
Data Visualization with Tableau Specialization http://imp.i384100.net/7
Getting Started with Power BI Desktop http://imp.i384100.net/8
Advanced Google Data Analytics Professional Certificate http://imp.i384100.net/9
Google Business Intelligence Professional Certificate http://imp.i384100.net/10

?üì? SOCIAL
Instagram and TikTok - @Loresowhat

?üì© Get in touch: 
loresowhat@gmail.com

?üîé CONTENT
0:00 Intro
0:59 Habit 1
2:48 Habit 2
3:57 Habit 3
5:14 Habit 4
5:58 Habit 5
6:58 Habit 6
8:09 Habit 7

#dataanalytics #career",Public,09-05-2023,27,Education,https://i.ytimg.com/vi/kX_UTrhlJtQ/maxresdefault.jpg,https://www.youtube.com/watch?v=kX_UTrhlJtQ,7 HABITS OF SUCCESSFUL DATA ANALYST.mp4,21-07-2023,2163,25,136,3,577
K0FrRCc6JtE,UCtoNXlIegvxkvf5Ji8S57Ag,How to become a Data Analyst for FREE,"How to become a Data Analyst for FREE,data analyst,data analytics,data analyst job,how to become a data analyst,data analyst career,data science,data analyst roadmap,data analytics career,alex the analyst,data analytics roadmap,how to learn data analytics,excel,how to get data analyst job,how to get data analyst job without experience,data analysis,google data analytics professional certificate,google data analyst,google data analytics,power bi","Let me show you a QUICK and FREE roadmap to become a Data Analyst...

#dataanalytics #roadmap",Public,04-05-2023,22,People & Blogs,https://i.ytimg.com/vi/K0FrRCc6JtE/maxresdefault.jpg,https://www.youtube.com/watch?v=K0FrRCc6JtE,27.mp4,21-07-2023,1272,9,183,0,50
